REF_DATE,GEO,Violations,Statistics,VALUE
2018,Canada,Attempted murder [1210],"Rate per 100,000 population",2.22
2019,Canada,Attempted murder [1210],"Rate per 100,000 population",2.33
2020,Canada,Attempted murder [1210],"Rate per 100,000 population",2.27
2000,Canada,Total sexual violations against children [130],Actual incidents,
2001,Canada,Total sexual violations against children [130],Actual incidents,
2002,Canada,Total sexual violations against children [130],Actual incidents,0
2003,Canada,Total sexual violations against children [130],Actual incidents,55
2004,Canada,Total sexual violations against children [130],Actual incidents,54
2005,Canada,Total sexual violations against children [130],Actual incidents,52
2006,Canada,Total sexual violations against children [130],Actual incidents,188
2007,Canada,Total sexual violations against children [130],Actual incidents,542
2008,Canada,Total sexual violations against children [130],Actual incidents,1435
2009,Canada,Total sexual violations against children [130],Actual incidents,2693
2010,Canada,Total sexual violations against children [130],Actual incidents,3684
2011,Canada,Total sexual violations against children [130],Actual incidents,3804
2012,Canada,Total sexual violations against children [130],Actual incidents,3953
2013,Canada,Total sexual violations against children [130],Actual incidents,4174
2014,Canada,Total sexual violations against children [130],Actual incidents,4534
2015,Canada,Total sexual violations against children [130],Actual incidents,5256
2016,Canada,Total sexual violations against children [130],Actual incidents,7334
2017,Canada,Total sexual violations against children [130],Actual incidents,8276
2018,Canada,Total sexual violations against children [130],Actual incidents,9075
2019,Canada,Total sexual violations against children [130],Actual incidents,10339
2020,Canada,Total sexual violations against children [130],Actual incidents,10388
2000,Canada,Total sexual violations against children [130],"Rate per 100,000 population",
2001,Canada,Total sexual violations against children [130],"Rate per 100,000 population",
2002,Canada,Total sexual violations against children [130],"Rate per 100,000 population",0
2003,Canada,Total sexual violations against children [130],"Rate per 100,000 population",0.17
2004,Canada,Total sexual violations against children [130],"Rate per 100,000 population",0.17
2005,Canada,Total sexual violations against children [130],"Rate per 100,000 population",0.16
2006,Canada,Total sexual violations against children [130],"Rate per 100,000 population",0.58
2007,Canada,Total sexual violations against children [130],"Rate per 100,000 population",1.65
2008,Canada,Total sexual violations against children [130],"Rate per 100,000 population",4.32
2009,Canada,Total sexual violations against children [130],"Rate per 100,000 population",8.01
2010,Canada,Total sexual violations against children [130],"Rate per 100,000 population",10.83
2011,Canada,Total sexual violations against children [130],"Rate per 100,000 population",11.08
2012,Canada,Total sexual violations against children [130],"Rate per 100,000 population",11.39
2013,Canada,Total sexual violations against children [130],"Rate per 100,000 population",11.9
2014,Canada,Total sexual violations against children [130],"Rate per 100,000 population",12.79
2015,Canada,Total sexual violations against children [130],"Rate per 100,000 population",14.72
2016,Canada,Total sexual violations against children [130],"Rate per 100,000 population",20.31
2017,Canada,Total sexual violations against children [130],"Rate per 100,000 population",22.65
2018,Canada,Total sexual violations against children [130],"Rate per 100,000 population",24.48
2019,Canada,Total sexual violations against children [130],"Rate per 100,000 population",27.5
2020,Canada,Total sexual violations against children [130],"Rate per 100,000 population",27.33
2000,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2236
2001,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2187
2002,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2157
2003,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2299
2004,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2208
2005,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1990
2006,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1531
2007,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1642
2008,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1479
2009,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1736
2010,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2017
2011,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1944
2012,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2057
2013,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1892
2014,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,1862
2015,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2358
2016,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2534
2017,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2766
2018,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,2861
2019,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,3544
2020,Canada,"Total firearms, use of, discharge, pointing [150]",Actual incidents,4137
2000,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.29
2001,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.05
2002,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",6.88
2003,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.27
2004,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",6.91
2005,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",6.17
2006,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.7
2007,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.99
2008,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.45
2009,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.16
2010,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.93
2011,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.66
2012,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.93
2013,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.39
2014,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.25
2015,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",6.6
2016,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.02
2017,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.57
2018,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",7.72
2019,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",9.43
2020,Canada,"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",10.89
2000,Canada,Total robbery [160],Actual incidents,30582
2001,Canada,Total robbery [160],Actual incidents,30756
2002,Canada,Total robbery [160],Actual incidents,30036
2003,Canada,Total robbery [160],Actual incidents,32084
2004,Canada,Total robbery [160],Actual incidents,30990
2005,Canada,Total robbery [160],Actual incidents,32437
2006,Canada,Total robbery [160],Actual incidents,34641
2007,Canada,Total robbery [160],Actual incidents,34182
2008,Canada,Total robbery [160],Actual incidents,32372
2009,Canada,Total robbery [160],Actual incidents,32463
2010,Canada,Total robbery [160],Actual incidents,30478
2011,Canada,Total robbery [160],Actual incidents,29790
2012,Canada,Total robbery [160],Actual incidents,27748
2013,Canada,Total robbery [160],Actual incidents,23249
2014,Canada,Total robbery [160],Actual incidents,20932
2015,Canada,Total robbery [160],Actual incidents,22149
2016,Canada,Total robbery [160],Actual incidents,21958
2017,Canada,Total robbery [160],Actual incidents,22831
2018,Canada,Total robbery [160],Actual incidents,22550
2019,Canada,Total robbery [160],Actual incidents,23371
2020,Canada,Total robbery [160],Actual incidents,19268
2000,Canada,Total robbery [160],"Rate per 100,000 population",99.65
2001,Canada,Total robbery [160],"Rate per 100,000 population",99.15
2002,Canada,Total robbery [160],"Rate per 100,000 population",95.8
2003,Canada,Total robbery [160],"Rate per 100,000 population",101.4
2004,Canada,Total robbery [160],"Rate per 100,000 population",97.02
2005,Canada,Total robbery [160],"Rate per 100,000 population",100.59
2006,Canada,Total robbery [160],"Rate per 100,000 population",106.36
2007,Canada,Total robbery [160],"Rate per 100,000 population",103.93
2008,Canada,Total robbery [160],"Rate per 100,000 population",97.37
2009,Canada,Total robbery [160],"Rate per 100,000 population",96.53
2010,Canada,Total robbery [160],"Rate per 100,000 population",89.63
2011,Canada,Total robbery [160],"Rate per 100,000 population",86.75
2012,Canada,Total robbery [160],"Rate per 100,000 population",79.93
2013,Canada,Total robbery [160],"Rate per 100,000 population",66.27
2014,Canada,Total robbery [160],"Rate per 100,000 population",59.07
2015,Canada,Total robbery [160],"Rate per 100,000 population",62.04
2016,Canada,Total robbery [160],"Rate per 100,000 population",60.81
2017,Canada,Total robbery [160],"Rate per 100,000 population",62.47
2018,Canada,Total robbery [160],"Rate per 100,000 population",60.84
2019,Canada,Total robbery [160],"Rate per 100,000 population",62.17
2020,Canada,Total robbery [160],"Rate per 100,000 population",50.7
2000,Canada,Total theft of motor vehicle [220],Actual incidents,160315
2001,Canada,Total theft of motor vehicle [220],Actual incidents,168595
2002,Canada,Total theft of motor vehicle [220],Actual incidents,161912
2003,Canada,Total theft of motor vehicle [220],Actual incidents,174208
2004,Canada,Total theft of motor vehicle [220],Actual incidents,169977
2005,Canada,Total theft of motor vehicle [220],Actual incidents,160014
2006,Canada,Total theft of motor vehicle [220],Actual incidents,158638
2007,Canada,Total theft of motor vehicle [220],Actual incidents,145714
2008,Canada,Total theft of motor vehicle [220],Actual incidents,125568
2009,Canada,Total theft of motor vehicle [220],Actual incidents,107992
2010,Canada,Total theft of motor vehicle [220],Actual incidents,92506
2011,Canada,Total theft of motor vehicle [220],Actual incidents,82460
2012,Canada,Total theft of motor vehicle [220],Actual incidents,78068
2013,Canada,Total theft of motor vehicle [220],Actual incidents,72512
2014,Canada,Total theft of motor vehicle [220],Actual incidents,74008
2015,Canada,Total theft of motor vehicle [220],Actual incidents,78800
2016,Canada,Total theft of motor vehicle [220],Actual incidents,79055
2017,Canada,Total theft of motor vehicle [220],Actual incidents,85115
2018,Canada,Total theft of motor vehicle [220],Actual incidents,86192
2019,Canada,Total theft of motor vehicle [220],Actual incidents,87045
2020,Canada,Total theft of motor vehicle [220],Actual incidents,78155
2000,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",522.39
2001,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",543.52
2002,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",516.41
2003,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",550.6
2004,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",532.16
2005,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",496.24
2006,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",487.06
2007,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",443.06
2008,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",377.7
2009,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",321.13
2010,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",272.03
2011,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",240.13
2012,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",224.89
2013,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",206.69
2014,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",208.84
2015,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",220.71
2016,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",218.93
2017,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",232.9
2018,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",232.54
2019,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",231.54
2020,Canada,Total theft of motor vehicle [220],"Rate per 100,000 population",205.64
2000,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,21354
2001,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,20845
2002,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,19816
2003,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,19416
2004,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,16968
2005,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,17201
2006,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,17094
2007,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,17430
2008,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,16758
2009,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15795
2010,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15649
2011,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15095
2012,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15436
2013,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,14336
2014,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,14251
2015,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15444
2016,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,15528
2017,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,17265
2018,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,20104
2019,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,21365
2020,Canada,"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,20272
2000,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",69.58
2001,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",67.2
2002,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",63.2
2003,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",61.37
2004,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",53.12
2005,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",53.34
2006,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",52.48
2007,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",53
2008,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",50.41
2009,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",46.97
2010,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",46.02
2011,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",43.96
2012,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",44.47
2013,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",40.86
2014,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",40.21
2015,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",43.26
2016,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",43
2017,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",47.24
2018,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",54.24
2019,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",56.83
2020,Canada,"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",53.34
2000,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,663040
2001,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,659589
2002,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,667312
2003,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,700605
2004,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,673999
2005,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,638684
2006,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,617818
2007,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,580074
2008,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,552956
2009,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,559155
2010,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,528582
2011,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,500496
2012,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,499484
2013,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,472226
2014,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,472912
2015,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,487176
2016,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,496976
2017,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,505185
2018,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,532463
2019,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,565058
2020,Canada,"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,434425
2000,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2160.51
2001,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2126.4
2002,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2128.34
2003,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2214.32
2004,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2110.16
2005,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1980.71
2006,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1896.86
2007,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1763.79
2008,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1663.24
2009,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1662.74
2010,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1554.41
2011,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1457.5
2012,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1438.85
2013,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1346.03
2014,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1334.5
2015,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1364.53
2016,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1376.3
2017,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1382.35
2018,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1436.56
2019,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1503.08
2020,Canada,"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1143.07
2000,Canada,Fraud [2160],Actual incidents,85791
2001,Canada,Fraud [2160],Actual incidents,86486
2002,Canada,Fraud [2160],Actual incidents,91812
2003,Canada,Fraud [2160],Actual incidents,92924
2004,Canada,Fraud [2160],Actual incidents,97443
2005,Canada,Fraud [2160],Actual incidents,95377
2006,Canada,Fraud [2160],Actual incidents,93175
2007,Canada,Fraud [2160],Actual incidents,88779
2008,Canada,Fraud [2160],Actual incidents,91364
2009,Canada,Fraud [2160],Actual incidents,90167
2010,Canada,Fraud [2160],Actual incidents,81761
2011,Canada,Fraud [2160],Actual incidents,77741
2012,Canada,Fraud [2160],Actual incidents,78661
2013,Canada,Fraud [2160],Actual incidents,79744
2014,Canada,Fraud [2160],Actual incidents,81179
2015,Canada,Fraud [2160],Actual incidents,94425
2016,Canada,Fraud [2160],Actual incidents,109630
2017,Canada,Fraud [2160],Actual incidents,113166
2018,Canada,Fraud [2160],Actual incidents,130008
2019,Canada,Fraud [2160],Actual incidents,142013
2020,Canada,Fraud [2160],Actual incidents,138011
2000,Canada,Fraud [2160],"Rate per 100,000 population",279.55
2001,Canada,Fraud [2160],"Rate per 100,000 population",278.82
2002,Canada,Fraud [2160],"Rate per 100,000 population",292.83
2003,Canada,Fraud [2160],"Rate per 100,000 population",293.69
2004,Canada,Fraud [2160],"Rate per 100,000 population",305.07
2005,Canada,Fraud [2160],"Rate per 100,000 population",295.79
2006,Canada,Fraud [2160],"Rate per 100,000 population",286.07
2007,Canada,Fraud [2160],"Rate per 100,000 population",269.94
2008,Canada,Fraud [2160],"Rate per 100,000 population",274.81
2009,Canada,Fraud [2160],"Rate per 100,000 population",268.13
2010,Canada,Fraud [2160],"Rate per 100,000 population",240.44
2011,Canada,Fraud [2160],"Rate per 100,000 population",226.39
2012,Canada,Fraud [2160],"Rate per 100,000 population",226.6
2013,Canada,Fraud [2160],"Rate per 100,000 population",227.3
2014,Canada,Fraud [2160],"Rate per 100,000 population",229.08
2015,Canada,Fraud [2160],"Rate per 100,000 population",264.47
2016,Canada,Fraud [2160],"Rate per 100,000 population",303.6
2017,Canada,Fraud [2160],"Rate per 100,000 population",309.66
2018,Canada,Fraud [2160],"Rate per 100,000 population",350.76
2019,Canada,Fraud [2160],"Rate per 100,000 population",377.76
2020,Canada,Fraud [2160],"Rate per 100,000 population",363.14
2000,Canada,Counterfeiting [3420],Actual incidents,1360
2001,Canada,Counterfeiting [3420],Actual incidents,1737
2002,Canada,Counterfeiting [3420],Actual incidents,2523
2003,Canada,Counterfeiting [3420],Actual incidents,2763
2004,Canada,Counterfeiting [3420],Actual incidents,2183
2005,Canada,Counterfeiting [3420],Actual incidents,1517
2006,Canada,Counterfeiting [3420],Actual incidents,1147
2007,Canada,Counterfeiting [3420],Actual incidents,719
2008,Canada,Counterfeiting [3420],Actual incidents,1028
2009,Canada,Counterfeiting [3420],Actual incidents,818
2010,Canada,Counterfeiting [3420],Actual incidents,815
2011,Canada,Counterfeiting [3420],Actual incidents,622
2012,Canada,Counterfeiting [3420],Actual incidents,440
2013,Canada,Counterfeiting [3420],Actual incidents,630
2014,Canada,Counterfeiting [3420],Actual incidents,586
2015,Canada,Counterfeiting [3420],Actual incidents,675
2016,Canada,Counterfeiting [3420],Actual incidents,805
2017,Canada,Counterfeiting [3420],Actual incidents,939
2018,Canada,Counterfeiting [3420],Actual incidents,1088
2019,Canada,Counterfeiting [3420],Actual incidents,1160
2020,Canada,Counterfeiting [3420],Actual incidents,831
2000,Canada,Counterfeiting [3420],"Rate per 100,000 population",4.43
2001,Canada,Counterfeiting [3420],"Rate per 100,000 population",5.6
2002,Canada,Counterfeiting [3420],"Rate per 100,000 population",8.05
2003,Canada,Counterfeiting [3420],"Rate per 100,000 population",8.73
2004,Canada,Counterfeiting [3420],"Rate per 100,000 population",6.83
2005,Canada,Counterfeiting [3420],"Rate per 100,000 population",4.7
2006,Canada,Counterfeiting [3420],"Rate per 100,000 population",3.52
2007,Canada,Counterfeiting [3420],"Rate per 100,000 population",2.19
2008,Canada,Counterfeiting [3420],"Rate per 100,000 population",3.09
2009,Canada,Counterfeiting [3420],"Rate per 100,000 population",2.43
2010,Canada,Counterfeiting [3420],"Rate per 100,000 population",2.4
2011,Canada,Counterfeiting [3420],"Rate per 100,000 population",1.81
2012,Canada,Counterfeiting [3420],"Rate per 100,000 population",1.27
